id,bus_id,pmu_id,event_date,event_time,vol_mag,vol_angle,current_mag,current_angle,frequency,rocof
160,BUSID_04,PMU_04,1/24/2021,7:12:00,7.9966,-11.528,0.7055,-79.599,60.029,-0.0027
161,BUSID_04,PMU_04,1/24/2021,7:59:31,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
162,BUSID_04,PMU_04,1/24/2021,8:47:02,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
163,BUSID_04,PMU_04,1/24/2021,9:36:00,7.9966,-11.528,0.7055,-79.599,60.029,-0.0029
164,BUSID_04,PMU_04,1/24/2021,10:23:31,7.9966,-11.528,0.7055,-79.599,60.029,-0.0031
165,BUSID_04,PMU_04,1/24/2021,11:11:02,7.9965,-11.528,0.7055,-79.599,60.029,-0.0031
166,BUSID_04,PMU_04,1/24/2021,12:00:00,7.9965,-11.528,0.7055,-79.599,60.029,-0.0031
167,BUSID_04,PMU_04,1/24/2021,12:47:31,7.9965,-11.528,0.7055,-79.599,60.029,-0.0033
168,BUSID_04,PMU_04,1/24/2021,13:35:02,7.9965,-11.528,0.7055,-79.599,60.028,-0.0033
169,BUSID_04,PMU_04,1/24/2021,14:24:00,7.9965,-11.528,0.7055,-79.598,60.028,-0.0033
170,BUSID_04,PMU_04,1/24/2021,15:11:31,7.9965,-11.528,0.7055,-79.598,60.028,-0.0035
171,BUSID_04,PMU_04,1/24/2021,15:59:02,7.9965,-11.528,0.7055,-79.598,60.028,-0.0034
172,BUSID_04,PMU_04,1/24/2021,16:48:00,7.9965,-11.528,0.7055,-79.598,60.028,-0.0035
173,BUSID_04,PMU_04,1/24/2021,17:35:31,7.9964,-11.528,0.7055,-79.598,60.028,-0.0037
174,BUSID_04,PMU_04,1/24/2021,18:23:02,7.9964,-11.528,0.7055,-79.598,60.028,-0.0036
175,BUSID_04,PMU_04,1/24/2021,19:12:00,7.9964,-11.528,0.7055,-79.598,60.028,-0.0036
176,BUSID_04,PMU_04,1/24/2021,19:59:31,7.9964,-11.527,0.7055,-79.598,60.028,-0.0039
177,BUSID_04,PMU_04,1/24/2021,20:47:02,7.9964,-11.527,0.7055,-79.598,60.027,-0.0038
