Time,Voltage Magnitude,Voltage Angle,Current Magnitude,Current Angle,Frequency,ROCOF
8.333,7.996,-11.524,0.7055,-79.593,60.014,-0.0062
8.366,7.996,-11.524,0.7055,-79.593,60.014,-0.0061
8.4,7.996,-11.524,0.7055,-79.593,60.014,-0.0061
8.433,7.996,-11.524,0.7055,-79.593,60.014,-0.0063
8.466,7.996,-11.524,0.7055,-79.592,60.013,-0.0061
8.5,7.996,-11.524,0.7055,-79.592,60.013,-0.0061
8.533,7.996,-11.524,0.7055,-79.592,60.013,-0.0063
8.566,7.996,-11.524,0.7055,-79.592,60.013,-0.0061
8.6,7.996,-11.524,0.7055,-79.592,60.013,-0.0061
8.633,7.996,-11.524,0.7055,-79.592,60.012,-0.0063
8.666,7.996,-11.524,0.7055,-79.592,60.012,-0.0061
8.7,7.996,-11.524,0.7055,-79.592,60.012,-0.006
8.733,7.996,-11.524,0.7055,-79.592,60.012,-0.0063
8.766,7.996,-11.524,0.7055,-79.592,60.012,-0.0061
8.8,7.996,-11.523,0.7055,-79.592,60.011,-0.006
8.833,7.996,-11.523,0.7055,-79.592,60.011,-0.0062
8.866,7.9959,-11.523,0.7055,-79.591,60.011,-0.006
8.9,7.9959,-11.523,0.7055,-79.591,60.011,-0.006
8.933,7.9959,-11.523,0.7055,-79.591,60.011,-0.0062
8.966,7.9959,-11.523,0.7055,-79.591,60.01,-0.006
9,7.9959,-11.523,0.7055,-79.591,60.01,-0.006
9.033,7.9959,-11.523,0.7055,-79.591,60.01,-0.0062
9.066,7.9959,-11.523,0.7055,-79.591,60.01,-0.006
9.1,7.9959,-11.523,0.7055,-79.591,60.01,-0.0059
9.133,7.9959,-11.523,0.7055,-79.591,60.009,-0.0062
9.166,7.9959,-11.523,0.7055,-79.591,60.009,-0.006
9.2,7.9959,-11.523,0.7055,-79.591,60.009,-0.006
9.233,7.9959,-11.523,0.7055,-79.591,60.009,-0.0062
9.266,7.9959,-11.523,0.7055,-79.591,60.009,-0.006
9.3,7.9959,-11.523,0.7055,-79.59,60.008,-0.0059
9.333,7.9959,-11.523,0.7055,-79.59,60.008,-0.0061
9.366,7.9959,-11.523,0.7055,-79.59,60.008,-0.0059
9.4,7.9959,-11.523,0.7055,-79.59,60.008,-0.0059
9.433,7.9959,-11.523,0.7055,-79.59,60.008,-0.0061
9.466,7.9959,-11.523,0.7055,-79.59,60.007,-0.0058
9.5,7.9959,-11.523,0.7055,-79.59,60.007,-0.0058
9.533,7.9959,-11.523,0.7055,-79.59,60.007,-0.006
9.566,7.9959,-11.522,0.7055,-79.59,60.007,-0.0058
